status,card_present,Tax_desc,Balance,Gender,Age,State,Amount,Movement,SalaryPerAnnum
2,0.80,4,1017.52,1,26,2.86,1013.67,1,24374.28
1,1.00,0,2029.05,1,40,3.00,11.05,0,24481.20
1,1.00,2,1609.16,1,19,3.00,16.18,0,19504.08
2,0.80,1,28453.87,2,38,2.86,35.00,0,341866.44
1,1.00,0,1602.58,1,19,3.00,6.58,0,19309.92
1,1.00,0,39595.08,2,22,2.00,39.92,0,475620.00
1,1.00,2,1082.64,2,44,2.00,8.10,0,13088.88
2,0.80,1,2335.35,2,21,2.86,55.00,0,28684.20
2,0.80,4,16433.32,1,34,2.86,3903.73,1,244044.60
2,0.80,4,1796.37,2,26,2.86,1098.91,1,34743.36
2,0.80,4,50383.16,2,38,2.86,2647.38,1,636366.48
1,1.00,2,1691.91,2,20,3.00,13.52,0,20465.16
1,0.00,2,186344.95,1,40,2.00,26.91,0,2236462.32
2,0.80,4,1244.45,1,30,2.86,1158.15,1,28831.20
2,0.80,4,1969.05,2,69,2.86,1043.12,1,36146.04
2,0.80,1,1162.08,2,22,2.86,33.00,0,14340.96
2,0.80,4,1403.55,1,20,2.86,1395.49,1,33588.48
2,0.80,4,7094.77,2,39,2.86,3071.14,1,121990.92
2,0.80,1,3021.94,1,26,2.86,50.00,0,36863.28
1,0.00,2,6941.78,2,28,3.00,22.59,0,83572.44
1,1.00,0,1067.36,2,44,2.00,15.28,0,12991.68
1,1.00,0,2025.72,1,23,2.00,14.86,0,24486.96
1,1.00,2,1006.85,1,26,1.00,10.67,0,12210.24
1,0.00,0,6022.68,2,35,4.00,19.58,0,72507.12
2,0.80,1,7046.77,2,39,2.86,48.00,0,85137.24
1,1.00,0,27984.90,2,21,3.00,26.75,0,336139.80
1,1.00,2,16421.78,1,34,3.00,11.54,0,197199.84
1,0.00,0,995.57,1,26,1.00,11.28,0,12082.20
1,1.00,0,27953.53,2,21,1.00,31.37,0,335818.80
2,0.80,1,4331.50,2,19,2.86,17.00,0,52182.00
2,0.80,1,1992.72,1,23,2.86,33.00,0,24308.64
2,0.80,5,35322.36,2,42,2.86,36.00,0,424300.32
1,1.00,0,1963.94,1,40,1.00,65.11,0,24348.60
1,0.00,0,6924.65,2,28,6.00,17.13,0,83301.36
2,0.80,3,1679.94,1,41,2.86,43.00,0,20675.28
2,0.80,1,1569.58,1,19,2.86,33.00,0,19230.96
2,0.80,1,1884.41,2,44,2.86,157.00,0,24496.92
2,0.80,1,1767.37,2,26,2.86,29.00,0,21556.44
2,0.80,1,7014.77,2,39,2.86,32.00,0,84561.24
1,1.00,0,27923.06,2,21,2.00,30.47,0,335442.36
1,0.00,0,1074.43,1,20,5.00,15.16,0,13075.08
1,1.00,0,8306.12,2,23,3.00,35.99,0,100105.32
1,1.00,0,58111.04,2,33,2.00,43.70,0,697856.88
2,0.80,1,54980.99,2,40,2.86,47.00,0,660335.88
2,0.80,1,6630.82,2,20,2.86,39.00,0,80037.84
2,0.80,1,1657.94,1,41,2.86,22.00,0,20159.28
1,1.00,0,1066.35,1,20,5.00,8.08,0,12893.16
2,0.80,1,4298.50,2,19,2.86,33.00,0,51978.00
2,0.80,1,3117.58,1,30,2.86,47.00,0,37974.96
1,1.00,2,35305.32,2,42,2.00,17.04,0,423868.32
2,0.80,1,1580.32,1,35,2.86,33.00,0,19359.84
2,0.80,3,1146.46,1,19,2.86,22.00,0,14021.52
2,0.80,3,2074.79,1,43,2.86,197.00,0,27261.48
1,0.00,2,50671.14,2,19,5.00,1692.56,0,628364.40
1,1.00,2,1917.11,1,40,1.00,46.83,0,23567.28
2,0.80,1,2031.79,1,43,2.86,43.00,0,24897.48
1,1.00,2,186236.30,1,40,3.00,108.65,0,2236139.40
1,1.00,0,2293.86,2,21,4.00,41.49,0,28024.20
1,1.00,0,4428.26,1,39,2.00,46.12,0,53692.56
2,0.80,1,16394.78,1,34,2.86,27.00,0,197061.36
1,1.00,0,2986.34,1,26,4.00,35.60,0,36263.28
1,1.00,2,1872.72,1,40,5.00,44.39,0,23005.32
1,1.00,2,1845.04,1,40,1.00,27.68,0,22472.64
1,1.00,2,1826.34,1,40,3.00,18.70,0,22140.48
1,1.00,0,1816.34,1,40,1.00,10.00,0,21916.08
1,1.00,0,50657.65,2,19,5.00,13.49,0,608053.68
1,1.00,2,1035.55,2,44,2.00,31.81,0,12808.32
1,1.00,0,2285.02,2,21,5.00,8.84,0,27526.32
1,1.00,2,49743.84,2,78,2.00,12.37,0,597074.52
2,0.80,1,2476.66,2,24,2.86,41.00,0,30211.92
2,0.80,4,3907.05,1,26,2.86,920.71,1,57933.12
2,0.80,3,1667.91,2,20,2.86,24.00,0,20302.92
1,1.00,2,16373.36,1,34,4.00,21.42,0,196737.36
1,1.00,2,1742.72,2,26,5.00,24.65,0,21208.44
1,0.00,2,3047.08,1,30,3.00,70.50,0,37410.96
1,1.00,2,35254.08,2,42,2.00,51.24,0,423663.84
2,0.80,4,50526.26,2,78,2.86,782.42,1,615704.16
2,0.80,5,186195.30,1,40,2.86,41.00,0,2234835.60
1,1.00,2,3008.22,1,30,4.00,38.86,0,36564.96
1,1.00,0,1903.70,1,35,3.00,32.97,0,23240.04
1,0.00,2,27898.89,2,21,2.00,24.17,0,335076.72
2,0.80,3,8189.12,2,23,2.86,117.00,0,99673.44
2,0.80,4,2511.50,2,22,2.86,2218.73,1,56762.76
2,0.80,1,2666.12,2,20,2.86,15.00,0,32173.44
1,1.00,0,4158.41,2,19,5.00,13.75,0,50065.92
1,0.00,2,3130.00,2,22,3.00,28.51,0,37902.12
2,0.80,1,6954.77,2,39,2.86,60.00,0,84177.24
2,0.80,4,1811.47,2,30,2.86,1808.62,1,43441.08
1,1.00,2,1712.39,2,26,5.00,30.33,0,20912.64
1,0.00,2,1948.27,2,69,2.00,20.78,0,23628.60
1,1.00,2,30130.77,2,28,3.00,32.67,0,361961.28
1,1.00,2,35238.13,2,42,2.00,15.95,0,423048.96
1,1.00,0,1791.00,1,40,1.00,25.34,0,21796.08
2,0.80,4,2480.74,2,44,2.86,596.33,1,36924.84
2,0.80,1,1758.00,1,40,2.86,33.00,0,21492.00
2,0.80,4,6722.85,2,26,2.86,1433.98,1,97881.96
1,1.00,2,1550.27,1,41,2.00,107.67,0,19895.28
1,1.00,0,24268.73,1,50,2.00,10.13,0,291346.32
1,0.00,0,1789.31,2,30,1.00,22.16,0,21737.64
1,1.00,0,1014.72,2,25,5.00,41.66,0,12676.56
1,1.00,0,1236.27,1,30,3.00,8.18,0,14933.40
1,1.00,0,50637.85,2,19,5.00,19.80,0,607891.80
1,1.00,0,1663.59,2,26,5.00,48.80,0,20548.68
2,0.80,4,1634.77,1,43,2.86,1630.36,1,39181.56
2,0.80,4,1361.79,2,37,2.86,916.75,1,27342.48
1,1.00,2,2866.56,2,22,3.00,263.44,0,37560.00
1,0.00,2,8144.24,2,23,4.00,44.88,0,98269.44
2,0.80,1,7963.24,2,23,2.86,181.00,0,97730.88
2,0.80,1,1020.55,2,44,2.86,15.00,0,12426.60
2,0.80,4,42790.09,2,22,2.86,3195.01,1,551821.20
2,0.80,4,1067.25,1,35,2.86,725.32,1,21510.84
1,1.00,0,2658.88,2,20,2.00,7.24,0,31993.44
1,1.00,0,27884.42,2,21,2.00,14.47,0,334786.68
2,0.80,1,7922.24,2,23,2.86,41.00,0,95558.88
2,0.80,1,186174.30,1,40,2.86,21.00,0,2234343.60
2,0.80,1,1540.46,1,21,2.86,135.00,0,20105.52
1,1.00,0,13583.79,1,46,3.00,97.95,0,164180.88
1,0.00,2,11424.58,2,24,1.00,13.93,0,137262.12
2,0.80,1,260464.83,2,46,2.86,50.00,0,3126177.96
1,1.00,2,1608.28,1,43,2.00,26.49,0,19617.24
1,1.00,2,50192.66,2,38,7.00,190.50,0,604597.92
1,1.00,0,30102.06,2,28,3.00,28.71,0,361569.24
1,0.00,2,5748.22,2,38,3.00,40.31,0,69462.36
1,1.00,0,996.97,1,35,3.00,70.28,0,12807.00
2,0.80,1,979.55,2,44,2.86,41.00,0,12246.60
1,1.00,0,50590.99,2,19,2.00,46.86,0,607654.20
1,1.00,2,11366.83,2,24,3.00,57.75,0,137094.96
2,0.80,1,42704.09,2,22,2.86,86.00,0,513481.08
2,0.80,5,6866.65,2,28,2.86,58.00,0,83095.80
1,1.00,0,6708.49,2,26,2.00,14.36,0,80674.20
2,0.80,1,2795.85,1,25,2.86,32.00,0,33934.20
2,0.80,1,5986.68,2,35,2.86,36.00,0,72272.16
2,0.80,3,1441.27,1,41,2.86,109.00,0,18603.24
2,0.80,1,1038.46,1,19,2.86,108.00,0,13757.52
1,1.00,0,6879.81,2,39,2.00,74.96,0,83457.24
1,1.00,0,30056.51,2,28,3.00,45.55,0,361224.72
1,1.00,2,1697.39,1,40,2.00,60.61,0,21096.00
2,0.80,1,4376.26,1,39,2.86,52.00,0,53139.12
2,0.80,3,58052.04,2,33,2.86,59.00,0,697332.48
1,1.00,2,50459.08,2,19,3.00,131.91,0,607091.88
1,1.00,2,6619.25,2,20,4.00,11.57,0,79569.84
1,1.00,0,1768.68,2,30,1.00,20.63,0,21471.72
1,1.00,0,35205.33,2,42,2.00,32.80,0,422857.56
1,1.00,2,1564.62,1,35,2.00,15.70,0,18963.84
1,1.00,2,1009.91,1,19,2.00,28.55,0,12461.52
2,0.80,1,11323.83,2,24,2.86,43.00,0,136401.96
1,1.00,0,2460.90,2,44,2.00,19.84,0,29768.88
2,0.80,1,29932.51,2,28,2.86,124.00,0,360678.12
2,0.80,1,1529.58,1,19,2.86,40.00,0,18834.96
1,1.00,0,2014.57,1,43,2.00,17.22,0,24381.48
2,0.80,1,29867.51,2,28,2.86,65.00,0,359190.12
1,1.00,0,6610.74,2,20,4.00,8.51,0,79431.00
2,0.80,3,42557.09,2,22,2.86,147.00,0,512449.08
2,0.80,1,986.72,2,25,2.86,28.00,0,12176.64
2,0.80,1,1512.46,1,21,2.86,28.00,0,18485.52
1,1.00,2,2457.10,2,24,2.00,19.56,0,29719.92
2,0.80,1,54849.99,2,40,2.86,131.00,0,659771.88
2,0.80,3,5876.68,2,35,2.86,110.00,0,71840.16
1,1.00,0,1477.37,2,30,3.00,291.31,0,21224.16
1,0.00,0,2451.88,2,44,2.00,9.02,0,29530.80
1,0.00,0,35174.73,2,42,2.00,30.60,0,422463.96
1,1.00,0,1464.57,2,30,1.00,12.80,0,17728.44
1,1.00,2,1442.26,2,30,2.00,22.31,0,17574.84
1,1.00,0,1413.48,2,30,1.00,28.78,0,17307.12
2,0.80,1,58002.04,2,33,2.86,50.00,0,696624.48
1,1.00,2,11299.28,2,24,1.00,24.55,0,135885.96
1,1.00,0,24252.89,1,50,2.00,15.84,0,291224.76
2,0.80,1,1417.62,1,35,2.86,147.00,0,18775.44
2,0.80,1,1408.27,1,41,2.86,33.00,0,17295.24
2,0.80,3,1590.28,1,43,2.86,18.00,0,19299.36
2,0.80,4,30334.82,2,38,2.86,1880.95,1,386589.24
1,1.00,2,2597.74,2,20,3.00,61.14,0,31906.56
1,0.00,2,843.34,1,19,2.00,166.57,0,12118.92
1,1.00,2,4326.51,1,39,3.00,49.75,0,52515.12
2,0.80,1,16357.36,1,34,2.86,16.00,0,196480.32
2,0.80,3,1068.27,1,30,2.86,168.00,0,14835.24
2,0.80,4,2205.14,1,20,2.86,1138.79,1,40127.16
2,0.80,4,1072.04,2,37,2.86,917.45,1,23873.88
1,1.00,0,6827.92,2,39,2.00,51.89,0,82557.72
1,1.00,2,1974.77,1,23,2.00,17.95,0,23912.64
2,0.80,4,2273.30,1,21,2.86,2023.68,1,51563.76
2,0.80,4,3801.41,2,52,2.86,3785.78,1,91046.28
2,0.80,4,735.66,1,64,2.86,576.00,1,15739.92
2,0.80,4,1438.70,1,25,2.86,1225.33,1,31968.36
2,0.80,4,1956.58,1,40,2.86,1946.57,1,46837.80
1,1.00,2,429.79,2,26,3.00,1233.80,0,19963.08
1,1.00,2,18776.14,1,38,2.00,7.93,0,225408.84
1,1.00,0,1970.39,1,23,2.00,4.38,0,23697.24
2,0.80,1,13561.79,1,46,2.86,22.00,0,163005.48
2,0.80,1,54809.99,2,40,2.86,40.00,0,658199.88
2,0.80,4,25689.87,1,50,2.86,1436.98,1,325522.20
1,1.00,0,1986.01,1,43,2.00,28.56,0,24174.84
1,1.00,0,35144.77,2,42,2.00,29.96,0,422096.76
1,0.00,0,2266.05,1,21,2.00,7.25,0,27279.60
1,1.00,2,1957.08,1,23,2.00,13.31,0,23644.68
2,0.80,3,2024.14,1,20,2.86,181.00,0,26461.68
2,0.80,4,2889.90,1,27,2.86,2840.15,1,68760.60
1,1.00,2,4297.82,1,39,3.00,28.69,0,51918.12
1,0.00,2,1329.27,2,37,3.00,32.52,0,16341.48
1,1.00,0,2760.42,1,25,1.00,35.43,0,33550.20
1,1.00,0,1624.53,2,20,3.00,43.38,0,20014.92
2,0.80,4,5042.78,1,25,2.86,2282.36,1,87901.68
2,0.80,4,29444.62,2,21,2.86,1560.20,1,372057.84
2,0.80,1,29824.51,2,28,2.86,43.00,0,358410.12
2,0.80,1,103466.38,2,42,2.86,193.00,0,1243912.56
1,1.00,2,4260.22,1,39,4.00,37.60,0,51573.84
1,1.00,2,1571.16,1,43,2.00,19.12,0,19083.36
2,0.80,1,4870.78,1,25,2.86,172.00,0,60513.36
2,0.80,4,4490.85,2,22,2.86,3328.77,1,93835.44
2,0.80,4,2645.62,2,35,2.86,2544.76,1,62284.56
2,0.80,4,3158.66,2,21,2.86,2572.91,1,68778.84
1,1.00,0,2802.40,1,27,5.00,87.50,0,34678.80
1,1.00,2,18747.91,1,38,3.00,28.23,0,225313.68
1,1.00,2,29798.38,2,28,3.00,26.13,0,357894.12
1,1.00,2,11278.76,2,24,1.00,20.52,0,135591.36
1,0.00,2,2849.88,2,22,3.00,16.68,0,34398.72
2,0.80,3,2233.05,1,21,2.86,33.00,0,27192.60
2,0.80,1,2404.10,2,24,2.86,53.00,0,29485.20
2,0.80,1,18681.91,1,38,2.86,66.00,0,224974.92
1,1.00,2,54698.48,2,40,5.00,111.51,0,657719.88
1,1.00,0,4244.45,1,39,3.00,15.77,0,51122.64
1,1.00,2,2559.82,2,20,2.00,37.92,0,31172.88
2,0.80,1,16294.36,1,34,2.86,63.00,0,196288.32
2,0.80,3,1969.14,1,20,2.86,55.00,0,24289.68
2,0.80,1,4258.50,2,19,2.86,40.00,0,51582.00
2,0.80,1,1858.70,1,35,2.86,45.00,0,22844.40
1,1.00,0,1675.39,1,40,3.00,22.00,0,20368.68
1,0.00,2,4131.96,2,19,5.00,26.45,0,49900.92
1,1.00,0,4215.53,1,39,3.00,28.92,0,50933.40
1,0.00,2,1962.57,1,43,2.00,23.44,0,23832.12
1,1.00,0,16252.76,1,34,1.00,41.60,0,195532.32
1,0.00,2,1202.30,1,43,4.00,760.27,0,23550.84
1,1.00,2,18668.82,1,38,2.00,13.09,0,224182.92
1,0.00,0,1059.66,2,37,3.00,12.38,0,12864.48
2,0.80,1,1900.14,1,20,2.86,69.00,0,23629.68
2,0.80,1,50488.26,2,78,2.86,38.00,0,606315.12
2,0.80,1,4208.50,2,19,2.86,50.00,0,51102.00
2,0.80,1,1390.48,2,30,2.86,23.00,0,16961.76
1,1.00,2,54658.82,2,40,5.00,39.66,0,656381.76
1,1.00,0,2620.47,2,35,3.00,25.15,0,31747.44
1,0.00,2,977.10,1,43,3.00,225.20,0,14427.60
1,1.00,2,2546.93,2,20,2.00,12.89,0,30717.84
1,1.00,0,2494.36,2,22,2.00,17.14,0,30138.00
1,1.00,0,29785.40,2,28,2.00,12.98,0,357580.56
1,1.00,2,50455.12,2,78,2.00,33.14,0,605859.12
1,1.00,0,6768.48,2,28,2.00,98.17,0,82399.80
1,1.00,0,1354.78,2,30,1.00,35.70,0,16685.76
1,1.00,2,260342.02,2,46,2.00,122.81,0,3125577.96
2,0.80,1,2363.10,2,24,2.86,41.00,0,28849.20
1,1.00,0,103413.04,2,42,3.00,53.34,0,1241596.56
1,1.00,2,4855.43,1,25,1.00,15.35,0,58449.36
1,1.00,2,1531.92,1,43,2.00,39.24,0,18853.92
1,0.00,2,5855.30,2,35,4.00,21.38,0,70520.16
1,1.00,0,18660.01,1,38,2.00,8.81,0,224025.84
1,1.00,0,33235.73,2,42,2.00,1909.04,0,421737.24
1,1.00,0,2276.76,2,21,5.00,8.26,0,27420.24
1,1.00,2,13218.65,2,42,1.00,51.59,0,159242.88
2,0.80,1,1412.70,1,25,2.86,26.00,0,17264.40
2,0.80,1,11150.76,2,24,2.86,128.00,0,135345.12
1,1.00,2,33197.10,2,42,2.00,38.63,0,398828.76
1,0.00,2,13556.17,1,46,4.00,5.62,0,162741.48
1,1.00,2,29770.05,2,28,3.00,15.35,0,357424.80
2,0.80,1,29416.62,2,21,2.86,28.00,0,353335.44
2,0.80,1,18615.01,1,38,2.86,45.00,0,223920.12
2,0.80,1,1914.08,1,23,2.86,43.00,0,23484.96
2,0.80,1,33160.10,2,42,2.86,37.00,0,398365.20
1,1.00,2,5817.76,2,35,3.00,37.54,0,70263.60
1,1.00,2,3795.10,2,52,3.00,6.31,0,45616.92
1,1.00,2,1660.14,1,40,1.00,15.25,0,20104.68
1,1.00,2,4153.71,2,19,6.00,54.79,0,50502.00
1,1.00,2,2001.93,2,25,2.00,30.99,0,24395.04
1,1.00,2,1655.05,1,40,1.00,5.09,0,19921.68
1,1.00,2,4473.55,2,22,2.00,17.30,0,53890.20
1,1.00,2,18596.61,1,38,2.00,18.40,0,223380.12
1,1.00,0,13523.96,1,46,3.00,32.21,0,162674.04
1,1.00,0,4456.55,2,22,2.00,17.00,0,53682.60
1,1.00,2,1646.98,1,40,1.00,8.07,0,19860.60
1,1.00,0,2775.14,1,27,4.00,27.26,0,33628.80
2,0.80,3,3712.10,2,52,2.86,83.00,0,45541.20
1,1.00,0,3148.44,2,21,2.00,10.22,0,37903.92
1,1.00,0,1886.47,1,20,5.00,13.67,0,22801.68
1,1.00,0,1506.99,1,43,3.00,24.93,0,18383.04
1,1.00,0,2582.41,2,35,1.00,38.06,0,31445.64
1,1.00,0,1973.48,2,25,1.00,28.45,0,24023.16
1,1.00,0,1522.37,1,40,1.00,124.61,0,19763.76
2,0.80,1,28568.11,1,43,2.86,560.00,0,349537.32
2,0.80,1,13173.65,2,42,2.86,45.00,0,158623.80
1,1.00,2,1421.27,1,40,2.00,101.10,0,18268.44
1,1.00,0,3128.75,2,21,2.00,19.69,0,37781.28
1,0.00,2,1376.53,1,40,1.00,44.74,0,17055.24
2,0.80,3,5773.76,2,35,2.86,44.00,0,69813.12
1,1.00,2,1404.05,1,35,2.00,13.57,0,17011.44
1,1.00,0,1296.71,2,37,3.00,32.56,0,15951.24
1,0.00,2,4381.54,2,22,3.00,75.01,0,53478.60
1,1.00,0,3121.59,2,21,2.00,7.16,0,37545.00
1,0.00,0,30318.08,2,38,3.00,16.74,0,364017.84
1,0.00,0,1480.69,1,43,3.00,26.30,0,18083.88
1,1.00,0,13485.19,1,46,3.00,38.77,0,162287.52
2,0.80,3,5587.25,2,38,2.86,133.00,0,68643.00
1,1.00,0,1253.25,2,37,8.00,43.46,0,15560.52
1,1.00,0,5720.25,2,38,2.00,27.97,0,68978.64
2,0.80,1,1931.27,2,69,2.86,17.00,0,23379.24
2,0.80,3,103295.04,2,42,2.86,118.00,0,1240956.48
1,1.00,2,1390.36,1,20,3.00,13.19,0,16842.60
1,1.00,0,16223.21,1,34,3.00,29.55,0,195033.12
1,1.00,2,2750.07,1,27,5.00,25.07,0,33301.68
1,1.00,2,2256.46,2,21,5.00,20.30,0,27321.12
2,0.80,1,6719.48,2,28,2.86,49.00,0,81221.76
1,1.00,0,2353.80,2,24,2.00,9.30,0,28357.20
1,1.00,2,1598.70,2,20,3.00,25.83,0,19494.36
1,1.00,2,2737.88,1,27,5.00,12.19,0,33000.84
1,1.00,0,1476.40,1,21,3.00,36.06,0,18149.52
1,1.00,2,1355.17,1,40,1.00,21.36,0,16518.36
1,1.00,0,1470.89,1,21,3.00,5.51,0,17716.80
1,0.00,2,1049.28,2,37,1.00,10.38,0,12715.92
1,1.00,2,4326.96,2,22,3.00,54.58,0,52578.48
1,1.00,2,7892.52,2,23,2.00,29.72,0,95066.88
1,1.00,0,1339.42,2,30,3.00,15.36,0,16257.36
1,0.00,2,2723.89,1,27,5.00,13.99,0,32854.56
1,0.00,0,1520.95,1,19,3.00,8.63,0,18354.96
1,1.00,2,28538.25,1,43,2.00,29.86,0,342817.32
1,0.00,0,2477.96,2,22,2.00,16.40,0,29932.32
1,1.00,0,1398.14,1,25,5.00,14.56,0,16952.40
2,0.80,1,13457.19,1,46,2.86,28.00,0,161822.28
1,1.00,0,2721.99,1,27,3.00,1.90,0,32686.68
1,0.00,2,4124.62,2,19,5.00,7.34,0,49583.52
1,1.00,0,1588.22,2,20,3.00,10.48,0,19184.40
1,0.00,0,1952.02,2,25,6.00,21.46,0,23681.76
1,1.00,0,2307.67,2,24,2.00,46.13,0,28245.60
1,1.00,0,4313.91,2,22,2.00,13.05,0,51923.52
1,1.00,0,4164.00,2,22,3.00,149.91,0,51766.92
1,0.00,0,2710.38,1,27,5.00,11.61,0,32663.88
2,0.80,1,1360.36,1,20,2.86,30.00,0,16684.32
1,0.00,0,1378.79,1,25,5.00,19.35,0,16777.68
1,1.00,2,2693.06,1,27,3.00,17.32,0,32524.56
2,0.80,1,260299.02,2,46,2.86,43.00,0,3124104.24
1,1.00,0,1209.45,1,40,1.00,145.72,0,16262.04
1,0.00,0,6782.79,2,39,4.00,45.13,0,81935.04
1,1.00,0,1367.02,1,25,5.00,11.77,0,16545.48
1,1.00,2,1493.27,1,19,3.00,27.68,0,18251.40
1,1.00,2,1569.04,2,20,5.00,19.18,0,19058.64
1,1.00,2,2521.50,2,20,3.00,25.43,0,30563.16
2,0.80,1,6615.79,2,39,2.86,167.00,0,81393.48
2,0.80,1,2452.96,2,22,2.86,25.00,0,29735.52
2,0.80,5,1322.05,1,35,2.86,82.00,0,16848.60
2,0.80,3,42521.09,2,22,2.86,36.00,0,510685.08
1,1.00,2,4109.53,2,19,5.00,15.09,0,49495.44
2,0.80,1,16192.21,1,34,2.86,31.00,0,194678.52
2,0.80,1,30247.08,2,38,2.86,71.00,0,363816.96
2,0.80,3,50336.08,2,19,2.86,123.00,0,605508.96
2,0.80,3,54619.82,2,40,2.86,39.00,0,655905.84
1,0.00,2,1528.42,2,20,3.00,40.62,0,18828.48
1,1.00,2,57976.85,2,33,2.00,25.19,0,696024.48
2,0.80,3,2419.96,2,22,2.86,33.00,0,29435.52
1,1.00,2,2679.63,1,27,5.00,13.43,0,32316.72
2,0.80,1,2324.96,2,22,2.86,95.00,0,29039.52
1,0.00,0,1476.16,1,19,3.00,17.11,0,17919.24
1,1.00,2,42501.13,2,22,2.00,19.96,0,510253.08
1,1.00,2,6677.87,2,28,1.00,41.61,0,80633.76
1,0.00,0,7881.62,2,23,3.00,10.90,0,94710.24
1,1.00,0,1313.04,1,41,2.00,95.23,0,16899.24
1,1.00,0,186134.52,1,40,2.00,39.78,0,2234091.60
2,0.80,1,29374.62,2,21,2.86,42.00,0,352999.44
1,1.00,0,1164.32,1,40,1.00,45.13,0,14513.40
1,0.00,2,1131.73,1,40,1.00,32.59,0,13971.84
1,1.00,2,3596.14,2,52,5.00,115.96,0,44545.20
1,1.00,0,2660.32,1,27,5.00,19.31,0,32155.56
2,0.80,1,50227.08,2,19,2.86,109.00,0,604032.96
2,0.80,1,29742.05,2,28,2.86,28.00,0,357240.60
2,0.80,3,28486.99,1,43,2.86,38.00,0,342299.88
2,0.80,1,6643.87,2,28,2.86,34.00,0,80134.44
1,1.00,2,28524.99,1,43,2.00,13.26,0,342459.00
1,1.00,2,4139.63,2,19,2.00,14.08,0,49844.52
1,1.00,2,1346.43,1,20,3.00,13.93,0,16324.32
1,1.00,2,1225.13,2,37,3.00,28.12,0,15039.00
2,0.80,1,4063.28,2,19,2.86,37.00,0,49203.36
1,1.00,2,42399.24,2,22,2.00,101.89,0,510013.56
1,1.00,0,4100.28,2,19,3.00,9.25,0,49314.36
2,0.80,1,3467.14,2,52,2.86,129.00,0,43153.68
1,1.00,0,1105.46,1,40,3.00,26.27,0,13580.76
1,1.00,2,4132.83,2,22,2.00,31.17,0,49968.00
1,0.00,0,5759.70,2,35,3.00,14.06,0,69285.12
1,1.00,0,1097.80,1,40,1.00,7.66,0,13265.52
1,0.00,0,2930.06,1,30,4.00,78.16,0,36098.64
1,0.00,0,4098.00,2,22,3.00,34.83,0,49593.96
1,1.00,2,1290.43,1,20,3.00,56.00,0,16157.16
1,1.00,2,30213.77,2,38,3.00,33.31,0,362964.96
1,1.00,0,4092.42,2,22,2.00,5.58,0,49176.00
1,0.00,2,1229.64,1,20,3.00,60.79,0,15485.16
1,1.00,2,16180.53,1,34,4.00,11.68,0,194306.52
1,1.00,2,54601.71,2,40,5.00,18.11,0,655437.84
